W001,W002,W003,W004,W005,W006,W007,W008,W009,W010,W011,W012,W013,W014,W015,W016,W017,W018,W019,W020,W021,W022,W023,W024,W025,W026,W027,W028,W029,W030,W031,W032,W033,W034,W035,W036,W037,W038,W039,W040,W041,W042,W043,W044,W045,W046,W047,W048,W049,W050,W051,W052,W053,W054,W055,W056,W057,W058,W059,W060,W061,W062,W063,W064,W065,W066,W067,W068,W069,W070,W071,W072,W073,W074,W075,W076,W077,W078,W079,W080,W081,W082,W083,W084,W085,W086,W087,W088,W089,W090,W091,W092,W093,W094,W095,W096,W097,W098,W099,W100,W101,W102,W103,W104,W105,W106,W107,W108,W109,W110,W111,W112,W113,W114,W115,W116,W117,W118,W119,W120,W121,W122,W123,W124,W125,W126,W127,W128,W129,W130,W131,W132,W133,W134,W135,W136,W137,W138,W139,W140,W141,W142,W143,W144,W145,W146,W147,W148,W149,W150,W151,W152,W153,W154,W155,W156,W157,W158,W159,W160,W161,W162,W163,W164,W165,W166,W167,W168,W169,W170,W171,W172,W173,W174,W175,W176,W177,W178,W179,W180,W181,W182,W183,W184,W185,W186,W187,W188,W189,W190,W191,W192,W193,W194,W195,W196,W197,W198,W199,W200,W201,W202,W203,W204,W205,W206,W207,W208,W209,W210,W211,W212,W213,W214,W215,W216,W217,W218,W219,W220,W221,W222,W223,W224,W225,W226,W227,W228,W229,W230,W231,W232,W233,W234,W235,W236,W237,W238,W239,W240
0,0,0,0,0,0,0,0,-1,0,0,1,-1,-15,0,0,-1,0,0,0,0,-1,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-15,-1,-1,0,-1,-10,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,1,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,-625,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,-600,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-600,0,0,1,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-600,0,-1,0,-1,0
1,-1,0,-44,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,-1,0,0,0,-1,0,0,0,0,0,-1,-1,0,-1,-50,0,0,-50,-50,0,0,0,0,0,0,-50,-50,0,9,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,-1,-1,0,-1,0,0,-1,0,0,0,0,-1,-1,0,6,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,-1,-1,0,-1,0,-1,7,1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,-1,-1,0,-1,-1,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-40,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,-1,1,1,0,8,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,1,1,0,1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-6,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,0,1,-1,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,-1,1,0,0,1,-1,0,0,-500,0,0,-1,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1,-1,0,-1,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,-497,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,-1,1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-400,0,0,0,0,-1,0,0,0,0,0,-1,0,0
6,1,2,6,1,7,5,6,6,0,6,5,2,2,2,2,8,9,4,6,3,0,-44,-6173,9,6,4,3,3,5,6,3,5,9,8,7,6,8,2,-97,6,4,2,6,0,5,8,9,8,0,0,1,3,7,-114,8,4,3,5,2,9,1,6,3,9,3,3,8,0,4,4,3,4,8,7,6,5,1,5,0,6,7,1,9,7,9,6,5,5,2,1,8,2,6,3,4,8,3,2,2,0,0,9,7,4,5,4,4,6,9,1,3,4,6,1,4,-38,8,3,6,7,5,0,6,1,0,1,7,2,6,5,8,8,0,0,1,3,1,4,-77,-68,1,7,6,1,6,8,3,1,1,0,2,4,7,3,3,8,2,5,9,9,3,7,2,9,1,5,4,2,6,4,0,6,7,8,3,3,1,0,4,7,9,1,8,5,6,3,6,9,8,8,-5480,4,2,-112,-6323,7,7,6,2,9,8,2,2,5,8,3,1,9,0,6,8,7,5,1,8,4,5,2,-6301,2,9,3,0,-6691,8,9,8,6,-11,1,0,4,3,8,9,5,6,5,8
0,0,0,-35,-1,-1,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,-1,0,-1,-1,-1,-1,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-30,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0,1,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,1,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0
0,0,1,-25,1,-1,1,0,1,0,1,1,1,0,1,-1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-1,0,1,0,1,0,-1,-1,1,0,1,-1,1,0,1,-20,1,0,1,0,1,0,1,0,1,-1,-1,0,-1,0,1,0,-1,1,-1,-1,1,-1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,-1,0,1,0,1,0,1,0,1,0,1,-1,-1,0,-1,-1,1,0,0,0,1,1,1,0,0,0,0,1,1,-1,0,-1,0,0,1,0,1,0,1,0,-1,0,1,0,1,0,0,0,-1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,-1,0,0,-1,0,1,-1,0,0,0,0,1,-1,0,-1,1,0,1,-1,1,0,1,-1,0,-1,1,0,1,0,-1,0,1,0,-1,-1,0,0,1,-1,1,0,1,0,1,0,1,0,-1,0,1,0,-1,0,0,0,1,0,-1,0,1,0,1,0,1,0,1,-1,-1,0,1,-1,0,0,-1,0,0,0,1,-1,1,-1,1,0,1,0,1,0
0,0,0,0,0,0,0,-1,0,0,0,0,-1,-15,0,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-500,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,-1,1,0,0,0,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-500,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-67,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,1,0,1,-1,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,-1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-1,0,-1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1,0,1,0,1,0,1,0,1,0,1,0,1,1,-1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,0,0,-1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,-1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,-1,0,0,1,-1,1,-1,0,0,0,0,0,-1,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,-1,0,1,0,1,0,0,0,0,0,1,0
-346,0,0,0,1,1,1,1,2,1,1,1,1,1,3,1,1,1,1,0,1,1,1,1,6,0,0,1,-1,1,1,1,4,0,1,1,1,1,1,1,1,1,-689,1,1,1,1,1,2,0,-1,3,1,1,1,1,1,1,-651,1,1,1,1,-612,1,1,1,-730,1,1,7,1,8,-1,1,3,-1,1,1,1,5,1,1,0,1,1,1,1,5,-1,1,-1,1,0,1,-1,5,0,-1,2,0,1,1,1,1,1,-1,1,1,1,1,1,1,1,1,0,1,1,1,1,5,0,1,7,1,1,1,1,1,1,1,-1,1,1,1,1,1,-1,-1,1,1,1,1,1,-66,0,1,-60,1,1,1,1,1,1,1,1,1,0,1,-727,1,1,1,0,1,0,1,-1,-8,0,-1,1,-1,1,1,1,4,1,1,1,1,-1,1,1,1,1,1,1,1,-1,1,0,8,0,-1,6,1,1,1,-1,1,1,-1,1,-1,1,1,0,1,1,1,1,1,1,1,0,6,-1,1,2,-1,1,1,1,6,1,1,1,1,1,1,1,2,1,1,1,1,-1,1,-1
1,0,1,-88,-1,0,0,0,1,-1,1,1,1,0,-1,0,1,0,1,0,0,0,1,0,1,-1,1,0,1,0,1,0,1,0,-179,0,-1,0,-178,0,1,0,1,0,1,0,1,0,1,-1,1,0,1,0,1,0,1,0,0,0,1,0,-1,0,1,0,1,0,0,-1,1,-1,1,0,1,0,1,0,1,0,-1,0,1,-1,1,0,1,1,-1,1,1,0,1,0,0,0,-1,0,0,0,1,0,1,0,1,0,-1,1,1,0,-1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-1,0,1,0,1,-1,1,0,1,0,0,0,0,0,1,0,1,-1,0,0,1,0,1,0,1,0,0,0,1,-1,1,0,0,0,1,0,1,0,0,-1,1,0,1,0,1,-1,1,0,-1,0,1,0,1,0,1,0,-1,0,-1,0,1,0,-1,-1,1,0,1,0,-1,0,-1,0,0,0,1,0,1,-1,1,0,1,0,0,-1,1,0,1,0,0,-1,1,0,1,0,-1,0,0,0,1,0,1,-1,1,0,1,-1,-1,0,1,-1
0,0,0,0,0,0,-15,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,1,0,-1,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0
0,0,1,0,0,0,0,-1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,1,0,-1,0,0,0,-1,0,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,0,-1,1,0,0,0,0,0,-1,0,0,0,0,0,-1,-1,-1,0,-1,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-550,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,0,-1,0,0,-500,0,-549,0,0,0,0,0,-1,-499,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,1,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,-549,0,0,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,-1,0,-509,0,0,-1,0,0
0,0,0,0,0,-1,0,0,-1,0,-210,1,0,0,-200,0,1,-180,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-200,0,0,0,0,1,-1,0,-200,-200,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,-200,-200,1,-200,0,-1,0,0,-1,0,0,0,0,0,-1,-1,0,-1,0,0,0,0,1,0,1,1,0,0,0,0,-1,0,0,0,0,-1,-1,0,0,0,0,0,0,-1,1,0,0,1,-1,0,-1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,-1,1,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,-1,1,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-30,0,-1,0,-1,-1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,6,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,-1,0,0,1,0,0,-1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-18,-30,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,4,4,8,1,0,1,6,-1,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,1,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,-1,1,1,0,0,0,1,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1
0,5,4,6,8,2,0,8,8,-8,5,0,0,2,7,1,7,0,4,4,0,-67,2,-4,8,2,2,3,0,4,8,9,1,-14,4,-83,3,8,5,1,1,1,-5,4,8,5,4,-8,3,3,7,5,0,4,9,1,0,-10,4,8,9,5,-10,5,-6,8,7,7,3,9,0,9,1,1,-4,5,3,1,-4,-4,1,-3,7,3,3,9,9,6,8,-8,-9,1,7,3,6,6,4,3,2,-10,2,7,-12,4,0,7,4,-4,4,0,-12,-6,3,1,3,-5,6,3,9,5,8,6,-4,2,8,-12,8,-3,9,1,-3,4,4,7,3,-7,4,4,-9,3,2,1,4,9,-8,2,6,9,6,-13,6,-4,2,4,7,-10,5,-5,8,-12,2,5,4,0,-8,1,5,-10,3,6,-7,3,2,6,0,9,2,0,4,0,2,2,3,1,7,4,9,0,2,9,-10,2,5,-7,4,3,6,7,-2,1,4,2,2,8,-4,-6,4,3,-23,0,-11,7,1,3,3,-3,9,9,6,8,5,5,3,4,8,9,4,0,4,4,3,9,7,3,4,1,7,-11,9,1
0,0,0,0,0,0,0,0,0,0,0,0,0,-20,0,0,1,0,0,0,0,0,-1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0
0,0,0,-50,0,0,-50,-1,-1,0,0,-1,0,0,0,0,0,-1,0,0,-1,0,0,0,-1,0,-1,0,0,0,-50,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,-1,0,-1,1,0,0,1,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,1,1,0,0,0,-1,0,0,0,0,0,-1,0,0,0,-1,0,1,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,1,0,1,-1,0,0,0,-1,1,-1,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,9,7,8,-2000,5,3,9,6,8,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,-7999,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,-1,0,0,0,-1,0,0,-1,0,-11000,0,0,5,3,9,1,0,7,3,5,5,0,3,7,-6129,0,0,0,0,0,0,0,0,0,0,0,4,4,5,3,9,5,7,8,4,-72,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,0,-14776,1,-18,1,0,4,2,8,7,4,4,6,0,0,0,0,0,0,0,0,0,0,6,9,6,0,1,3,3,7,3,6,9,0,0,0,1,-1,0,0,0,0,0,0,0,0,1,9,0,1,-1,1,7,9,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,-14995,1,0,0,1,1,0,0,0,0,0,0,0,0,-14030,-14030,0,0,0,0,0,0,-1,0,0,1,0,0,0,0,0,0
0,0,-1,0,0,0,0,0,1,1,1,-1,-1,0,-1,1,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,-1,-1,0,0,0,0,0,-1,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,-1,0,0,0,-1,1,0,-1,0,4,7,5,1,0,5,0,1,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,-1,0,0,-1,-1,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,-1,-320,0,0,0,1,-1,0,0,0,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,0,0,0,0
